type,time
start,18:45:04
authoringNEW-start,18:46:12
authoring-finished,18:46:15
authoringNEW-start,18:46:46
authoring-finished,18:46:48
nl2js-start,18:46:48
nl2js-finished,18:47:43
js2NLexplain-start,18:47:43
js2NLexplain-finished,18:47:47
js2flow-start,18:47:48
js2flow-finished,18:49:28
start,18:51:38
authoringNEW-start,18:51:44
authoring-finished,18:51:47
authoringNEW-start,18:51:54
authoring-finished,18:51:55
nl2js-start,18:51:55
nl2js-finished,18:51:59
js2NLexplain-start,18:51:59
js2NLexplain-finished,18:52:04
js2flow-start,18:52:04
js2flow-finished,18:52:19
nodeClick,18:52:46
nodeClick,18:52:47
