type,time
start,17:42:42
authoringNEW-start,17:56:40
authoring-finished,17:56:42
authoringNEW-start,17:59:52
authoring-finished,17:59:55
authoringNEW-start,18:00:26
authoring-finished,18:00:28
nl2js-start,18:00:28
nl2js-finished,18:00:35
js2NLexplain-start,18:00:35
js2NLexplain-finished,18:00:43
js2flow-start,18:00:43
js2flow-finished,18:01:22
nodeClick,18:02:09
magicModify-start,18:02:10
magicModify-finished,18:02:17
nodeClick,18:02:36
nodeClick,18:02:40
nodeClick,18:02:44
nodeClick,18:02:51
magicModify-start,18:02:53
magicModify-finished,18:03:01
magicModify-start,18:03:22
magicModify-finished,18:03:23
nodeClick,18:04:10
magicModifyPhase-start,18:04:32
magicModifyPhase-finished,18:04:35
nodeClick,18:04:39
nodeClick,18:04:54
magicModify-start,18:05:08
magicModify-finished,18:05:12
nodeClick,18:05:50
nodeClick,18:05:52
magicModifyPhase-start,18:05:56
nodeClick,18:05:58
magicModifyPhase-finished,18:05:59
magicModify-start,18:06:05
magicModify-finished,18:06:09
nodeClick,18:06:29
nodeClick,18:06:30
nodeClick,18:06:34
nodeClick,18:07:12
nodeClick,18:08:52
nodeClick,18:09:03
nodeClick,18:09:40
nodeClick,18:09:42
nodeClick,18:09:42
nodeClick,18:09:42
nodeClick,18:09:43
nodeClick,18:09:43
Node update,18:10:00
Node update,18:10:05
nodeClick,18:10:08
nodeClick,18:10:16
nodeClick,18:10:21
nodeClick,18:10:46
nodeClick,18:11:12
magicModifyPhase-start,18:11:34
magicModifyPhase-finished,18:12:12
js2flow-start,18:12:12
nodeClick,18:12:14
js2flow-finished,18:12:58
nodeClick,18:14:35
nodeClick,18:14:41
nodeClick,18:14:54
flow2js-start,18:15:03
flow2js-finished,18:15:24
explainModifiedJS-start,18:15:24
explainModifiedJS-finished,18:15:29
nodeClick,18:16:45
nodeClick,18:16:48
nodeClick,18:17:09
nodeClick,18:17:09
Node update,18:17:15
nodeClick,18:17:40
nodeClick,18:17:48
nodeClick,18:17:50
nodeClick,18:17:54
nodeClick,18:17:55
nodeClick,18:17:56
nodeClick,18:17:56
nodeClick,18:18:00
nodeClick,18:18:00
nodeClick,18:18:02
nodeClick,18:18:02
nodeClick,18:18:15
nodeClick,18:18:41
magicModify-start,18:18:41
magicModify-finished,18:18:46
magicModify-start,18:18:50
magicModify-finished,18:18:50
magicModify-start,18:18:50
magicModify-finished,18:18:51
magicModifyPhase-start,18:19:17
magicModifyPhase-finished,18:19:48
js2flow-start,18:19:48
js2flow-finished,18:20:31
nodeClick,18:20:58
nodeClick,18:21:08
magicModify-start,18:21:09
magicModify-finished,18:21:14
nodeClick,18:21:15
nodeClick,18:21:15
nodeClick,18:21:19
nodeClick,18:21:21
magicModifyPhase-start,18:21:36
magicModifyPhase-finished,18:21:58
js2flow-start,18:21:58
js2flow-finished,18:22:43
nodeClick,18:22:52
nodeClick,18:22:52
nodeClick,18:22:52
nodeClick,18:23:01
