type,time
start,12:51:20
authoringNEW-start,12:52:50
authoring-finished,12:52:54
authoringNEW-start,12:52:58
authoring-finished,12:53:00
nl2js-start,12:53:03
nl2js-finished,12:53:11
authoringNEW-start,12:56:13
authoring-finished,12:56:16
