type,time
start,16:47:08
authoringNEW-start,16:47:13
authoring-finished,16:47:14
authoringNEW-start,16:47:19
authoring-finished,16:47:30
authoringNEW-start,16:48:25
authoring-finished,16:48:33
authoringNEW-start,16:48:45
authoring-finished,16:48:47
nl2js-start,16:48:47
nl2js-finished,16:48:56
js2NLexplain-start,16:48:56
js2NLexplain-finished,16:49:06
js2flow-start,16:49:06
js2flow-finished,16:49:49
