type,time
start,20:00:24
authoringNEW-start,20:12:54
authoring-finished,20:13:02
authoringNEW-start,20:13:47
authoring-finished,20:13:48
nl2js-start,20:13:49
nl2js-finished,20:13:56
js2NLexplain-start,20:13:56
js2NLexplain-finished,20:14:04
js2flow-start,20:14:04
js2flow-finished,20:14:48
nodeClick,20:14:59
nodeClick,20:15:01
nodeClick,20:15:02
nodeClick,20:15:31
nodeClick,20:15:40
nodeClick,20:15:40
nodeClick,20:15:41
Node update,20:16:14
flow2js-start,20:16:15
flow2js-finished,20:16:33
explainModifiedJS-start,20:16:33
explainModifiedJS-finished,20:16:37
Node update,20:16:43
nodeClick,20:16:46
nodeClick,20:16:52
nodeClick,20:16:56
nodeClick,20:16:57
nodeClick,20:16:58
nodeClick,20:16:59
nodeClick,20:16:59
nodeClick,20:17:00
nodeClick,20:17:00
nodeClick,20:17:01
nodeClick,20:17:02
nodeClick,20:17:03
nodeClick,20:17:03
nodeClick,20:17:25
nodeClick,20:17:37
nodeClick,20:17:37
nodeClick,20:17:49
nodeClick,20:18:17
nodeClick,20:18:21
nodeClick,20:18:22
nl2jswithContext-start,20:18:55
nl2jswithContext-finished,20:19:17
explainModifiedJS-start,20:19:17
explainModifiedJS-finished,20:19:23
js2flow-start,20:19:23
js2flow-finished,20:20:04
nodeClick,20:21:25
nl2jswithContext-start,20:23:13
nl2jswithContext-finished,20:23:34
explainModifiedJS-start,20:23:34
explainModifiedJS-finished,20:23:41
js2flow-start,20:23:41
nodeClick,20:24:17
nodeClick,20:24:17
nodeClick,20:24:17
nodeClick,20:24:18
nodeClick,20:24:18
nodeClick,20:24:19
nodeClick,20:24:19
js2flow-finished,20:24:27
Node update,20:25:30
nodeClick,20:26:07
