type,time
start,11:19:24
authoringNEW-start,11:28:34
authoring-finished,11:28:39
authoringNEW-start,11:28:53
authoring-finished,11:28:55
nl2js-start,11:28:55
nl2js-finished,11:29:03
js2NLexplain-start,11:29:03
js2flow-start,11:29:11
js2NLexplain-finished,11:29:11
js2flow-finished,11:29:40
nl2jswithContext-start,11:31:13
nl2jswithContext-finished,11:31:39
explainModifiedJS-start,11:31:39
explainModifiedJS-finished,11:31:44
js2flow-start,11:31:44
js2flow-finished,11:32:19
nodeClick,11:32:42
magicModify-start,11:32:47
magicModify-finished,11:32:55
nodeClick,11:33:56
magicModifyPhase-start,11:34:11
magicModifyPhase-finished,11:34:25
magicModifyPhase-start,11:40:46
magicModifyPhase-finished,11:41:20
js2flow-start,11:41:20
js2flow-finished,11:41:52
nodeClick,11:42:06
nodeClick,11:42:07
nodeClick,11:42:11
nodeClick,11:42:12
nodeClick,11:42:26
nl2jswithContext-start,11:43:25
nl2jswithContext-finished,11:43:49
explainModifiedJS-start,11:43:49
js2flow-start,11:43:53
explainModifiedJS-finished,11:43:53
js2flow-finished,11:44:23
nodeClick,11:44:29
nodeClick,11:44:42
nodeClick,11:44:43
nodeClick,11:44:47
nodeClick,11:44:49
nodeClick,11:44:57
AutoLayout,11:45:06
flow2js-start,11:45:07
flow2js-finished,11:45:32
explainModifiedJS-start,11:45:32
explainModifiedJS-finished,11:45:39
nl2jswithContext-start,11:49:38
nl2jswithContext-finished,11:50:05
explainModifiedJS-start,11:50:05
explainModifiedJS-finished,11:50:09
js2flow-start,11:50:09
js2flow-finished,11:50:39
nodeClick,11:50:44
nodeClick,11:50:45
nodeClick,11:50:45
nodeClick,11:50:46
nodeClick,11:50:47
nodeClick,11:50:48
nodeClick,11:52:18
nodeClick,11:52:23
magicModify-start,11:52:25
magicModify-finished,11:52:31
nodeClick,11:52:40
nodeClick,11:52:41
nodeClick,11:52:41
magicModifyPhase-start,11:54:59
magicModifyPhase-finished,11:55:35
js2flow-start,11:55:35
js2flow-finished,11:56:10
