type,time
start,19:17:02
authoringNEW-start,19:17:07
authoring-finished,19:17:11
authoringNEW-start,19:17:25
authoring-finished,19:17:27
nl2js-start,19:17:27
nl2js-finished,19:17:30
js2NLexplain-start,19:17:30
js2NLexplain-finished,19:17:37
js2flow-start,19:17:37
js2flow-finished,19:18:01
nodeClick,19:18:15
nl2jswithContext-start,19:19:42
nl2jswithContext-finished,19:19:54
explainModifiedJS-start,19:19:54
explainModifiedJS-finished,19:20:00
js2flow-start,19:20:00
js2flow-finished,19:20:24
AutoLayout,19:20:37
