type,time
start,19:12:01
authoringNEW-start,19:15:22
authoring-finished,19:15:26
authoringNEW-start,19:15:37
authoring-finished,19:15:38
nl2js-start,19:15:38
nl2js-finished,19:15:44
js2NLexplain-start,19:15:44
js2NLexplain-finished,19:15:51
js2flow-start,19:15:51
AutoLayout,19:16:24
js2flow-finished,19:16:24
nodeClick,19:16:28
nodeClick,19:16:28
nodeClick,19:16:28
nodeClick,19:16:29
nodeClick,19:16:29
nodeClick,19:16:33
nodeClick,19:16:34
nodeClick,19:16:34
AutoLayout,19:16:41
Node update,19:16:46
AutoLayout,19:16:49
AutoLayout,19:16:51
AutoLayout,19:16:53
