type,time
start,15:03:10
authoringNEW-start,15:11:10
authoring-finished,15:11:19
authoringNEW-start,15:11:41
authoring-finished,15:11:44
nl2js-start,15:11:44
nl2js-finished,15:11:55
js2NLexplain-start,15:11:55
js2NLexplain-finished,15:12:01
js2flow-start,15:12:02
js2flow-finished,15:12:31
nl2jswithContext-start,15:13:37
nl2jswithContext-finished,15:13:52
explainModifiedJS-start,15:13:53
explainModifiedJS-finished,15:13:59
js2flow-start,15:13:59
js2flow-finished,15:14:32
nodeClick,15:14:54
nodeClick,15:14:54
nodeClick,15:15:03
nodeClick,15:15:11
nodeClick,15:15:12
nodeClick,15:15:12
nodeClick,15:15:20
nodeClick,15:15:21
nodeClick,15:15:23
nodeClick,15:15:23
nodeClick,15:18:13
nodeClick,15:18:16
nodeClick,15:18:16
magicModify-start,15:18:16
magicModify-finished,15:18:20
magicModifyPhase-start,15:18:37
magicModifyPhase-finished,15:18:47
nodeClick,15:19:28
nodeClick,15:19:28
nodeClick,15:19:29
nodeClick,15:19:30
nodeClick,15:19:32
magicModifyPhase-start,15:21:05
nodeClick,15:21:14
nodeClick,15:21:53
nodeClick,15:21:54
nodeClick,15:21:56
nodeClick,15:21:56
magicModifyPhase-finished,15:21:57
nodeClick,15:21:57
js2flow-start,15:21:58
nodeClick,15:22:04
js2flow-finished,15:22:32
nodeClick,15:22:39
nodeClick,15:22:40
magicModify-start,15:22:44
magicModify-finished,15:22:50
