type,time
start,14:46:46
authoringNEW-start,14:49:30
authoring-finished,14:49:37
authoringNEW-start,14:49:49
authoring-finished,14:49:51
nl2js-start,14:49:51
nl2js-finished,14:49:59
js2NLexplain-start,14:49:59
js2NLexplain-finished,14:50:11
js2flow-start,14:50:11
js2flow-finished,14:50:47
nl2jswithContext-start,14:51:35
nl2jswithContext-finished,14:51:43
explainModifiedJS-start,14:51:43
explainModifiedJS-finished,14:51:48
js2flow-start,14:51:48
js2flow-finished,14:52:23
nl2jswithContext-start,14:57:18
nl2jswithContext-finished,14:57:24
explainModifiedJS-start,14:57:24
explainModifiedJS-finished,14:57:29
js2flow-start,14:57:29
js2flow-finished,14:57:29
nl2jswithContext-start,14:58:01
nl2jswithContext-finished,14:58:09
explainModifiedJS-start,14:58:09
explainModifiedJS-finished,14:58:14
js2flow-start,14:58:14
nodeClick,14:58:23
js2flow-finished,14:58:59
nodeClick,14:59:03
nodeClick,14:59:04
nodeClick,14:59:04
nodeClick,14:59:07
nodeClick,14:59:07
nodeClick,14:59:09
nodeClick,14:59:18
nodeClick,14:59:21
nodeClick,14:59:25
nodeClick,14:59:27
nodeClick,14:59:32
nodeClick,14:59:32
nodeClick,14:59:43
nodeClick,15:00:14
nodeClick,15:00:15
nodeClick,15:00:15
Node update,15:00:20
nodeClick,15:00:37
nodeClick,15:00:56
nodeClick,15:01:04
nodeClick,15:01:05
nodeClick,15:01:06
