type,time
start,18:48:57
nodeClick,18:55:29
nodeClick,18:55:29
authoringNEW-start,18:57:05
authoring-finished,18:57:07
authoringNEW-start,18:57:31
authoring-finished,18:57:33
nl2js-start,18:57:33
js2NLexplain-start,18:57:36
nl2js-finished,18:57:36
js2NLexplain-finished,18:57:40
js2flow-start,18:57:40
js2flow-finished,18:57:56
nl2jswithContext-start,19:00:16
nl2jswithContext-finished,19:00:33
explainModifiedJS-start,19:00:33
js2flow-start,19:00:40
explainModifiedJS-finished,19:00:40
js2flow-finished,19:01:07
nodeClick,19:01:33
magicModify-start,19:01:35
magicModify-finished,19:01:40
start,20:06:32
authoringNEW-start,20:06:35
authoring-finished,20:06:41
authoringNEW-start,20:06:58
authoring-finished,20:06:59
nl2js-start,20:06:59
nl2js-finished,20:07:04
js2NLexplain-start,20:07:04
js2NLexplain-finished,20:07:10
js2flow-start,20:07:11
js2flow-finished,20:07:34
